"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Smith, Josh A.","R","84.1","80.1",,"92.7",,"44.9","73.3"
"Soto, Gregory","L","84","85.1",,,,"33.3",
"Volquez, Edinson","R","83.9","86",,"90.8",,,
"Hale, David","R","83.9","81.8",,"96",,,"46"
"Kim, Kwang Hyun","L","83.7",,,"92.7",,"34.7","60.6"
"Davis, Wade","R","83.6",,"36.8","87.3",,,
"Freeland, Kyle","L","83.5","77.4",,"94.6",,"21.1",
"Crowe, Wil","R","83.4","78.3",,"74.6",,"41.3",
"Samardzija, Jeff","R","83.3","87.7","56.2",,,"42.3",
"Bumgarner, Madison","L","83.3",,"42.3",,,,"62.8"
"Treinen, Blake","R","83.2","89.4","45.2",,,"28.6",
"Patiño, Luis","R","83.2",,,"90.7",,"50.5",
"Carrasco, Carlos","R","83.2","82.3",,"67.8",,"24.7","55.2"
"Peralta, Freddy","R","83",,,,,"53.8","62.2"
"Wright, Kyle","R","83","83",,"97.8",,"25.1",
"Williams, Taylor","R","82.9",,,,,"11.5",
"Kay, Anthony","L","82.9",,,"91.2",,,"71.4"
"Widener, Taylor","R","82.9",,,"87.1",,"38.3",
"Cease, Dylan","R","82.8",,,"90.8",,"51.1",
"Menez, Conner","L","82.8",,,,,"27.8","57"
"Eshelman, Thomas","R","82.7","83.6",,"92",,"40.4","69.8"
"García, Rony","R","82.6",,,"93.5",,"28.2",
"Yamamoto, Jordan","R","82.6","83","30.2",,,"70","88.9"
"Webb, Logan","R","82.5","85.9","49.5","86.8",,"53.3",
"Vincent, Nick","R","82.4","85.7","60.4","97.4",,"27",
"Sims, Lucas","R","82.4",,,,,,"60.2"
"Lester, Jon","L","82.3","82.1","58.6","80.1",,,"62.6"
"Barlow, Scott","R","82.1",,,,,"50.9","87.3"
"Holder, Jonathan","R","82",,"42.6","91.4",,"61.3","74.6"
"Soroka, Michael","R","82","83.8",,"97.8",,"44.4",
"Junis, Jakob","R","81.9","78.3",,"72.1",,"62",
"Senzatela, Antonio","R","81.8",,,"61.4",,"38.7","61.7"
"Anderson, Shaun","R","81.7",,,"73.2",,"37.8",
"Lindblom, Josh","R","81.7",,"51.1","99.4",,"59.8","91.3"
"Fairbanks, Pete","R","81.7",,,,,"37.7",
"Valdez, César","R","81.6","86.9",,"74.9",,,
"Fry, Jace","L","81.3","71.5","14.4","88.1",,,"76"
"Zimmermann, Bruce","L","81.3",,,"99.3",,"17.4","43"
"Adam, Jason","R","81.2",,,"87.2",,"52.6",
"Civale, Aaron","R","81.2","85.7","51.7","92.9",,"42.4","86"
"Cahill, Trevor","R","81.2","80.7","13","88.7",,,
"Miley, Wade","L","81.1",,"38","84.8",,,"74.9"
"Leone, Dominic","R","80.6",,"44.7",,,"43.1",
"López, Pablo","R","80.5","82.3","51.5","85.5",,,"76.8"
"Martinez, Carlos","R","80.4","79.2",,"84.7",,"49.2",
"Mazza, Chris","R","80.4","86.8","39.3","86.9",,"41.6",
"Sánchez, Ricardo","L","80.2",,,"99.1",,"36.7","58.9"
"Norris, Daniel","L","80.1",,,"78.8",,"21.6",
"Glasnow, Tyler","R","79.5",,,"91.9",,,"80.3"
"Turley, Nik","L","79.3",,,,,,"98.2"
"Schmidt, Clarke","R","79.1","78.3",,"73.5",,,
"Gray, Sonny","R","79.1","74.3",,"89.1",,,"83.1"
"Kelly, Merrill","R","78.8","76.4","61.3","81.6",,,"69.9"
"Kilome, Franklyn","R","78.7","81.3",,"53.3",,,"63"
"Lynn, Lance","R","78.6","74.4","39.9","80.7",,,"35.5"
"Lakins Sr., Travis","R","78.5",,"48.9","90.9",,,"77.2"
"Covey, Dylan","R","78.5","75.4",,,,"30.3","43.1"
"Greinke, Zack","R","78.4",,,"81.7",,"47.6","74.5"
"Hughes, Jared","R","78.4","74.9",,"52",,,"41.9"
"Winkler, Dan","R","78.1","76","43",,,,"52.1"
"Taylor, Blake","L","77.9",,,,,"41.2",
"Ramirez, Noé","R","77.7",,,"73.8",,,"64.9"
"Rogers, Tyler","R","77.7","82.2",,,,"68.1",
"Helsley, Ryan","R","77.5",,,,,"29.5","59.8"
"Hudson, Dakota","R","77.4","89.3",,"96.8",,"24.6","64.2"
"Paredes, Enoli","R","77.4",,,,,"40.7","67.8"
"Wainwright, Adam","R","77.2","79.4","48.5","89.1",,,"96.8"
"Adams, Chance","R","77.1",,,,,,"77.2"
"Bard, Daniel","R","77","79",,"90",,"37",
"Miller, Andrew","L","76.5","84.8",,,,"66",
"Godley, Zack","R","76.3","73.6","55.8","80.2",,,
"Harper, Ryne","R","76.2",,,,,"76.1","90.3"
"Chatwood, Tyler","R","76.1","79.9","31.4","89.7",,,"68.4"
"Newberry, Jake","R","75.9",,,"75.8",,"31.2",
"Raley, Brooks","L","75.8","77.9","38.8","94.1",,,"69.2"
"Givens, Mychal","R","75.7",,,"60.2",,"33",
"Teheran, Julio","R","75.3","77.7",,"93.4",,"23.4","56.9"
"Williams, Trevor","R","74.8","77.3",,"92.7",,"45.1","58"
"Pressly, Ryan","R","74.7",,,,,"29.3","75"
"Cimber, Adam","R","74.5","77.6",,,,"28.2",
"Thornton, Trent","R","74.4",,"41.2","73.7",,"61.8",
"Wendelken, J.B.","R","74.3","79.6",,"98.8",,"34.3","93.1"
"Fry, Paul","L","73.7",,,,,"55.5",
"Selman, Sam","L","73.3",,,,,"49",
"Ryan, Kyle","L","73.1","65.3","42.3",,,,"59.8"
"Fedde, Erick","R","72.8","77.5","45.3","86.5",,,"62.7"
"O'Day, Darren","R","72.7","75.1",,,,"29.8",
"Maton, Phil","R","72.4",,"53.3",,,,"91.7"
"Keuchel, Dallas","L","72.4","75.3","39.1","90.2",,"29.8",
"Musgrove, Joe","R","71.7","69.1","32.8","76.3",,"57.3","75.4"
"Stratton, Chris","R","70.7",,,"72.2",,"33.7","76.2"
"Burnes, Corbin","R","70.7","73.4","48.5","69.1",,"44.3","63"
"Oviedo, Johan","R","70.6",,,"94.9",,"46.5","73.4"
"García, Yimi","R","70.5",,,"91.2",,"30.9","51"
"Fried, Max","L","70.4","68",,"70.9",,"44","92"
"González, Chi Chi","R","69.8","68.3","31.7","77.4",,"27.9","42.6"
"Betances, Dellin","R","69.5",,,,,,
"Lockett, Walker","R","69.4","77.5","46.5","92",,,"61.2"
"Scott, Tanner","L","69.1",,,,,"29.4",
"Cishek, Steve","R","68.1","78.6",,,,"74.7",
"Hall, Matt","L","66.9",,"26.3",,,,"95"
"Rosso, Ramón","R","66.7",,,,,"46.1",
"Hernández, Darwinzon","L","66.6",,,,,"42.5",
"Minor, Mike","L","66.6",,,"95.8",,"24.9",
"Valdez, Framber","L","66.5","70.3",,"77.1",,,"76.5"
"Suter, Brent","L","66.2","84.3",,"97.8",,,"72.8"
"Castano, Daniel","L","65.4","74",,"86.8",,"35.8",
"Keller, Brad","R","65.3","73.3",,"77.7",,"45.3",
"Osich, Josh","L","62.9","66.9","24.2",,,"46.9",
"Houck, Tanner","R","61.7","70",,,,"60.5",
"Turnbull, Spencer","R","61","75.4",,"92.8",,"35.2","81.7"
"Kickham, Mike","L","59.9",,,,,"28.7","66.8"
"Richards, Garrett","R","58.9","62.9",,,,"28.4","89.5"
"Walden, Marcus","R","56.2","55.3","30.6",,,"37.5",
"Schreiber, John","R","50.9",,,"70.4",,,
